"","title","price"
"1","
Appleiphone 6","Rs. 64,000"
"2","
Appleiphone 5S 16GB","Rs. 55,000"
"3","
Appleiphone 5C 32GB","Coming Soon"
"4","
Appleiphone 5C 16GB","Rs. 30,000"
"5","
Appleiphone 5S 32GB","Rs. 63,000"
"6","
Appleiphone 5S 64GB","Rs. 72,000"
"7","
Appleiphone 6 Plus","Rs. 75,000"
"8","
Appleiphone 6s","Rs. 77,000"
"9","
Appleiphone 6s Plus","Rs. 94,000"
"10","
Appleiphone 5 16GB","Rs. 34,990"
"11","
Appleiphone 5 32GB","Rs. 66,000"
"12","
Appleiphone 5 64GB","Rs. 71,000"
"13","
BlackBerryZ10","Rs. 21,000"
"14","
BlackBerryCurve 9360","Rs. 18,000"
"15","
BlackBerryBold Touch 9900","Rs. 36,000"
"16","
BlackBerryQ10","Rs. 16,000"
"17","
BlackBerryQ5","Rs. 16,000"
"18","
BlackBerryTorch 9860","Rs. 25,000"
"19","
BlackBerryCurve 8900","Rs. 15,000"
"20","
BlackBerryCurve 8520","Rs. 12,500"
"21","
BlackBerryCurve 3G 9300","Rs. 13,300"
"22","
BlackBerryCurve 9380","Rs. 26,499"
"23","
BlackBerryBold 9790","Rs. 24,000"
"24","
BlackBerryTorch 9800","Rs. 20,500"
"25","
BlackBerryBold 9650","Rs. 36,000"
"26","
BlackBerryBold 9700","Rs. 27,000"
"27","
BlackBerryBold 9780","Rs. 27,500"
"28","
BlackBerry9720","Rs. 22,000"
"29","
BlackBerryCurve 9320","Rs. 15,000"
"30","
BlackBerryCurve 9220","Rs. 12,000"
"31","
CalmeC540","Rs. 2,100"
"32","
CalmeC660","Rs. 1,850"
"33","
CalmeC789","Rs. 1,500"
"34","
CalmeC790","Rs. 1,800"
"35","
CalmeC230","Rs. 1,600"
"36","
CalmeC343","Rs. 1,550"
"37","
CalmeC880","Rs. 1,800"
"38","
CalmeSpark S25","Rs. 4,800"
"39","
CalmeSpark S15","Rs. 5,500"
"40","
CalmeSpark S24","Rs. 5,800"
"41","
CalmeSpark S12","Rs. 4,200"
"42","
CalmeC882","Rs. 1,850"
"43","
CalmeC770","Rs. 1,390"
